Region_Name,State,Latitude,Longitude,Rainfall_mm,Groundwater_Depth_m,Aquifer_Type,Aquifer_Depth_Min_m,Aquifer_Depth_Max_m,Aquifer_Thickness_m,Remarks,Soil_Type,Infiltration_Rate_mm_per_hr,Soil_Permability_Class,Roof_Type,Runoff_Coefficient,Water_Quality
Bhubaneswar,Odisha,20.27,85.84,848,19.6,Unconfined,10,24,14,"Moderate recharge, urban extraction high",Loamy,16,Medium,Concrete,0.85,Moderate
Cuttack,Odisha,20.46,85.88,832,14.9,Confined,19,29,10,"Moderate recharge, urban extraction high",Sandy,14,Medium,Metal,0.75,Good
Rourkela,Odisha,22.22,84.85,1180,14.9,Unconfined,5,15,10,"Moderate recharge, urban extraction high",Sandy,16,Medium,Concrete,0.85,Good
Ludhiana,Punjab,30.9,75.85,1028,18.1,Confined,11,23,12,"Moderate recharge, urban extraction high",Sandy,12,Medium,Tiled,0.7,Moderate
Amritsar,Punjab,31.63,74.87,1008,13.3,Confined,10,16,6,"Moderate recharge, urban extraction high",Loamy,18,High,Concrete,0.85,Good
Jalandhar,Punjab,31.33,75.58,1154,21.4,Unconfined,12,30,18,"Moderate recharge, urban extraction high",Clayey,10,Low,Tiled,0.7,Moderate
Jaipur,Rajasthan,26.92,75.82,913,12.9,Unconfined,5,17,12,"Moderate recharge, urban extraction high",Sandy,11,Low,Tiled,0.7,Moderate
Jodhpur,Rajasthan,26.27,73.02,1056,14.1,Confined,18,27,9,"Moderate recharge, urban extraction high",Clayey,14,Medium,Tiled,0.7,Moderate
Udaipur,Rajasthan,23.49,91.5,920,13.4,Confined,10,19,9,"Moderate recharge, urban extraction high",Sandy,16,Medium,Tiled,0.7,Moderate
Gangtok,Sikkim,27.33,88.61,955,17.7,Unconfined,10,20,10,"Moderate recharge, urban extraction high",Loamy,14,Medium,Tiled,0.7,Good
Namchi,Sikkim,27.17,88.34,910,19.2,Confined,17,26,9,"Moderate recharge, urban extraction high",Loamy,15,Medium,Metal,0.75,Moderate
Gyalshing,Sikkim,27.21,88.39,1044,23.3,Confined,19,30,11,"Moderate recharge, urban extraction high",Sandy,11,Low,Concrete,0.85,Good
Chennai,Tamil Nadu,13.08,80.27,1348,12.8,Confined,15,21,6,"Moderate recharge, urban extraction high",Alluvial,16,Medium,Tiled,0.7,Moderate
Coimbatore,Tamil Nadu,11.02,76.97,699,28.0,Confined,16,26,10,"Semi-arid region, overexploited groundwater",Loamy,8,Low,Tiled,0.7,Poor
Madurai,Tamil Nadu,9.93,78.12,1529,14.0,Confined,18,26,8,"Moderate recharge, urban extraction high",Alluvial,20,High,Concrete,0.85,Good
Hyderabad,Telangana,17.38,78.48,1475,11.4,Confined,18,33,15,"Moderate recharge, urban extraction high",Alluvial,21,High,Metal,0.75,Moderate
Warangal,Telangana,17.97,79.6,1175,13.9,Confined,11,23,12,"Moderate recharge, urban extraction high",Sandy,17,Medium,Metal,0.75,Good
Nizamabad,Telangana,18.67,78.1,1281,8.9,Confined,19,28,9,"Moderate recharge, urban extraction high",Alluvial,16,Medium,Tiled,0.7,Moderate
Agartala,Tripura,23.83,91.28,1040,19.3,Confined,14,26,12,"Moderate recharge, urban extraction high",Sandy,13,Medium,Concrete,0.85,Good
Udaipur,Tripura,23.49,91.5,1087,24.1,Confined,10,17,7,"Moderate recharge, urban extraction high",Sandy,17,Medium,Concrete,0.85,Moderate
Dharmanagar,Tripura,24.56,92.01,921,10.6,Confined,14,23,9,"Moderate recharge, urban extraction high",Clayey,12,Medium,Concrete,0.85,Good
Lucknow,Uttar Pradesh,26.85,80.95,1031,20.6,Confined,11,22,11,"Moderate recharge, urban extraction high",Loamy,18,High,Concrete,0.85,Good
Kanpur,Uttar Pradesh,26.45,80.33,782,19.9,Unconfined,15,25,10,"Moderate recharge, urban extraction high",Sandy,14,Medium,Metal,0.75,Moderate
Ghaziabad,Uttar Pradesh,28.67,77.43,819,11.5,Unconfined,12,27,15,"Moderate recharge, urban extraction high",Clayey,15,Medium,Tiled,0.7,Good
Dehradun,Uttarakhand,30.33,78.03,926,17.0,Confined,16,25,9,"Moderate recharge, urban extraction high",Loamy,14,Medium,Metal,0.75,Good
Haridwar,Uttarakhand,29.95,78.16,967,16.7,Confined,18,25,7,"Moderate recharge, urban extraction high",Sandy,10,Low,Metal,0.75,Moderate
Roorkee,Uttarakhand,29.87,77.88,872,24.7,Confined,12,26,14,"Moderate recharge, urban extraction high",Loamy,14,Medium,Tiled,0.7,Moderate
Kolkata,West Bengal,22.57,88.36,1128,11.2,Unconfined,9,28,19,"Moderate recharge, urban extraction high",Clayey,10,Low,Tiled,0.7,Moderate
Howrah,West Bengal,22.59,88.31,956,24.0,Unconfined,9,24,15,"Moderate recharge, urban extraction high",Clayey,17,Medium,Tiled,0.7,Moderate
Durgapur,West Bengal,23.52,87.32,1066,24.4,Confined,12,20,8,"Moderate recharge, urban extraction high",Sandy,16,Medium,Tiled,0.7,Good
